t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-15,1,4,-0,0,-0.50856,0.86102,0,0,0,0,0,0,0,0,0,0,0,0,5.6534,6.6049,6.5992,5.659,0,0,0,78.29,-144.07,41.737
0.01,-15,1,4,0.00020485,0.00034993,-0.50856,0.86102,1.293e-05,-2.3377e-05,6.6613e-06,-0.0013934,0.15972,-3.1294e-07,0.0038668,-0.0069512,0.0019696,0,0,0,5.7095,6.5514,6.5714,5.6891,0.76838,-1.3657,0.38252,75.302,-129.35,34.9
0.02,-15,1,4,0.00078249,0.0013651,-0.50856,0.86102,0.00010243,-0.00018217,5.1037e-05,-0.0067364,0.30511,-4.3407e-06,0.01526,-0.026851,0.0074355,0,0,0,5.7623,6.5069,6.5444,5.7216,1.5045,-2.5924,0.70053,71.84,-116.25,28.824
0.03,-15,1,4,0.0016832,0.0029944,-0.50856,0.86102,0.00034207,-0.00059917,0.00016499,-0.014856,0.43712,-1.8863e-05,0.033834,-0.058388,0.01579,0,0,0,5.8119,6.4708,6.5181,5.7557,2.2038,-3.6957,0.96135,67.967,-104.63,23.451
0.04,-15,0.99999,4,0.002919,0.0051576,-0.49948,0.8663,0.00080175,-0.0013848,0.00037466,-0.012996,0.5571,-5.0598e-05,0.059201,-0.1004,0.026494,0,0,0,5.8508,6.4498,6.4866,5.7972,2.8626,-4.6895,1.1717,63.747,-94.353,18.721
0.05,-15,0.99997,4,0.0043954,0.0078398,-0.49706,0.86767,0.0015473,-0.0026386,0.00070113,-0.017668,0.6655,-0.00010346,0.090941,-0.15186,0.039076,0,0,0,5.8926,6.4292,6.4619,5.8344,3.4778,-5.5867,1.3377,59.243,-85.289,14.574
0.06,-15,0.99993,4,0.0061066,0.010981,-0.49484,0.86889,0.0026403,-0.0044504,0.001161,-0.021849,0.76336,-0.00017685,0.1286,-0.21185,0.053119,0,0,0,5.9313,6.4136,6.4395,5.8726,4.0468,-6.3989,1.4649,54.521,-77.303,10.952
0.07,-15,0.99988,4,0.0080285,0.014537,-0.49282,0.86997,0.0041376,-0.0069014,0.0017672,-0.025146,0.85145,-0.00026487,0.17172,-0.27958,0.068262,0,0,0,5.9669,6.4019,6.42,5.912,4.5677,-7.136,1.5583,49.645,-70.26,7.794
0.08,-15,0.99979,4.0001,0.010141,0.018464,-0.49099,0.87091,0.0060912,-0.010066,0.0025289,-0.027247,0.93049,-0.0003564,0.21979,-0.35435,0.084187,0,0,0,5.9992,6.3929,6.4037,5.9531,5.0394,-7.8068,1.6222,44.677,-64.025,5.0418
0.09,-15,0.99967,4.0001,0.012426,0.022722,-0.48935,0.8717,0.0085483,-0.01401,0.0034526,-0.027934,1.0011,-0.00043585,0.27234,-0.43552,0.10062,0,0,0,6.0284,6.3857,6.3912,5.996,5.4612,-8.4187,1.6603,39.683,-58.465,2.6356
0.1,-15,0.99951,4.0001,0.014869,0.027272,-0.48789,0.87235,0.011551,-0.018795,0.0045422,-0.027078,1.0639,-0.00048459,0.32885,-0.52255,0.11732,0,0,0,6.0547,6.3795,6.3827,6.0409,5.8331,-8.9779,1.6758,34.725,-53.444,0.51627
0.11,-15,0.99929,4.0002,0.017457,0.032079,-0.48661,0.87286,0.015137,-0.024479,0.0057991,-0.024646,1.1193,-0.00048284,0.38884,-0.61492,0.13407,0,0,0,6.0787,6.3737,6.3782,6.0875,6.156,-9.4889,1.6714,29.87,-48.828,-1.3757
0.12,-14.999,0.99902,4.0002,0.020177,0.037107,-0.48549,0.87322,0.019338,-0.03111,0.0072231,-0.020701,1.1677,-0.00041208,0.45181,-0.71218,0.15068,0,0,0,6.101,6.368,6.3778,6.1355,6.4311,-9.9553,1.6489,25.179,-44.483,-3.0997
0.13,-14.999,0.99867,4.0003,0.023019,0.042323,-0.48453,0.87345,0.024182,-0.038737,0.0088118,-0.015405,1.2095,-0.00025766,0.51731,-0.81388,0.16699,0,0,0,6.1228,6.3624,6.3808,6.1843,6.6604,-10.379,1.6097,20.718,-40.274,-4.7149
0.14,-14.999,0.99824,4.0004,0.025972,0.047696,-0.4837,0.87355,0.029691,-0.047401,0.010561,-0.0090168,1.2449,-1.1816e-05,0.58487,-0.91962,0.18283,0,0,0,6.1452,6.3573,6.3866,6.2327,6.8464,-10.761,1.5547,16.55,-36.066,-6.2809
0.15,-14.999,0.99772,4.0005,0.029023,0.053197,-0.48301,0.87351,0.035885,-0.057141,0.012466,-0.0018936,1.2743,0.00032355,0.6541,-1.029,0.19803,0,0,0,6.1698,6.3531,6.3942,6.2795,6.9925,-11.1,1.4841,12.73,-31.745,-7.8484
0.16,-14.998,0.99709,4.0007,0.03216,0.058797,-0.48244,0.87336,0.042777,-0.067991,0.014519,0.0055771,1.2977,0.00073785,0.7246,-1.1415,0.21246,0,0,0,6.1969,6.3506,6.4031,6.3241,7.1022,-11.395,1.3978,9.257,-27.307,-9.417
